saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,tipo_movimentacao,tipo_deficiencia,salario_mensal,indicador_aprendiz
1,101,7,19,44.0,3,3,97,0,1375.0,0
1,101,7,27,44.0,3,1,97,0,1302.0,0
1,103,7,22,20.0,3,1,97,0,687.5,1
1,101,7,30,44.0,3,1,97,0,1304.53,0
1,101,7,26,44.0,6,3,97,0,1416.26,0
1,101,7,21,44.0,6,1,97,0,1302.0,0
1,101,7,43,44.86,3,1,97,0,1302.0,0
1,103,7,21,23.33,2,3,97,0,634.55,1
1,103,7,21,36.0,1,1,97,0,917.58,1
1,101,7,35,44.0,6,1,97,0,1375.0,0
1,101,7,23,44.0,3,3,97,0,1367.58,0
1,101,7,34,44.0,3,1,97,0,1375.0,0
1,101,7,35,44.0,3,3,97,0,1360.0,0
1,101,7,28,44.0,6,1,97,0,1665.64,0
1,101,7,38,48.0,1,1,97,0,1375.0,0
1,101,7,19,48.0,1,1,97,0,1500.0,0
1,101,7,26,44.0,6,1,97,0,1302.0,0
1,101,7,32,44.0,3,3,97,0,0.0,0
1,101,7,25,44.0,6,1,97,0,1400.0,0
-1,101,7,45,44.0,1,1,31,0,2329.75,0
-1,101,7,17,44.0,6,1,31,0,1375.0,0
-1,101,7,30,44.0,3,1,31,0,1351.0,0
-1,101,7,31,44.0,3,1,31,0,1590.6,0
-1,101,7,27,44.0,3,1,31,0,1375.0,0
-1,101,7,23,44.0,3,1,31,0,1363.94,0
-1,101,7,38,44.0,3,1,31,0,1590.6,0
-1,101,7,28,44.0,1,1,31,0,1931.34,0
-1,101,7,36,44.0,3,1,31,0,1590.6,0
-1,101,7,19,40.0,1,1,31,0,1302.0,0
-1,101,7,58,44.0,1,1,31,0,2084.37,0
-1,101,7,36,44.0,3,1,31,0,2345.42,0
-1,101,7,45,44.0,6,3,31,0,1450.0,0
1,101,7,41,44.0,3,1,97,0,2060.0,0
1,101,7,31,44.0,6,1,97,0,1490.0,0
1,101,3,40,44.0,3,1,97,0,1329.6,0
1,101,6,26,44.0,6,1,97,0,1490.0,0
1,101,7,53,44.0,2,1,97,0,1796.56,0
1,101,7,45,44.0,3,1,97,0,1302.0,0
1,101,4,31,44.0,1,1,97,0,1589.86,0
1,101,7,48,44.0,3,1,97,0,2329.74,0
1,101,7,36,44.0,6,1,97,0,1602.28,0
1,101,9,39,44.0,3,1,97,0,2060.0,0
1,101,7,30,44.0,3,1,97,0,1302.0,0
-1,101,7,33,40.0,1,3,31,0,1375.0,0
-1,101,7,21,44.0,6,3,31,0,1302.0,0
-1,101,7,36,44.0,6,1,31,0,1302.0,0
-1,101,7,21,48.0,1,1,31,0,1302.0,0
